#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
lcl|NZ_CP084250.1_cds_WP_248320831.1_1,1071679.BG57_24500,0.0,912.0,"COG0593@1|root,COG0593@2|Bacteria,1MU5H@1224|Proteobacteria,2VHH0@28216|Betaproteobacteria,1K152@119060|Burkholderiaceae",28216|Betaproteobacteria,L,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids,dnaA,-,-,ko:K02313,"ko02020,ko04112,map02020,map04112",-,-,-,"ko00000,ko00001,ko03032,ko03036",-,-,-,"Bac_DnaA,Bac_DnaA_C,DnaA_N"
lcl|NZ_CP084250.1_cds_WP_244847616.1_2,1071679.BG57_24505,2.27e-249,686.0,"COG0592@1|root,COG0592@2|Bacteria,1MVD9@1224|Proteobacteria,2VH9B@28216|Betaproteobacteria,1K1D0@119060|Burkholderiaceae",28216|Betaproteobacteria,L,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",dnaN,-,2.7.7.7,ko:K02338,"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440",M00260,"R00375,R00376,R00377,R00378",RC02795,"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400",-,-,-,"DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3"
lcl|NZ_CP084250.1_cds_WP_206467309.1_3,1071679.BG57_24510,0.0,1566.0,"COG0187@1|root,COG0187@2|Bacteria,1MVKT@1224|Proteobacteria,2VI8N@28216|Betaproteobacteria,1K194@119060|Burkholderiaceae",28216|Betaproteobacteria,L,"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner",gyrB,-,5.99.1.3,ko:K02470,-,-,-,-,"ko00000,ko01000,ko03032,ko03400",-,-,-,"DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim"
lcl|NZ_CP084250.1_cds_WP_248320832.1_4,1071679.BG57_24515,1.38e-163,463.0,"COG3440@1|root,COG3440@2|Bacteria,1NE0N@1224|Proteobacteria,2VXZ2@28216|Betaproteobacteria",28216|Betaproteobacteria,L,HNH endonuclease,-,-,-,ko:K07454,-,-,-,-,ko00000,-,-,-,HNH_2
lcl|NZ_CP084250.1_cds_WP_244847619.1_5,1097668.BYI23_A000070,6.68e-35,119.0,"COG1326@1|root,COG1326@2|Bacteria,1P3VF@1224|Proteobacteria,2W4YY@28216|Betaproteobacteria,1KA5B@119060|Burkholderiaceae",28216|Betaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lcl|NZ_CP084250.1_cds_WP_248320833.1_6,1097668.BYI23_A000080,1.05e-310,849.0,"COG0513@1|root,COG0513@2|Bacteria,1MU49@1224|Proteobacteria,2VH16@28216|Betaproteobacteria,1K43J@119060|Burkholderiaceae",28216|Betaproteobacteria,L,Belongs to the DEAD box helicase family,dbpA,"GO:0000339,GO:0003674,GO:0003676,GO:0003723,GO:0003724,GO:0003725,GO:0003729,GO:0003824,GO:0004004,GO:0004386,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006412,GO:0006413,GO:0006518,GO:0006725,GO:0006807,GO:0008026,GO:0008135,GO:0008150,GO:0008152,GO:0008186,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0010468,GO:0010501,GO:0016070,GO:0016281,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019222,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0042623,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050789,GO:0060255,GO:0065007,GO:0070035,GO:0071704,GO:0090304,GO:0097159,GO:0140098,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576",3.6.4.13,ko:K05591,-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,"DEAD,DbpA,Helicase_C"
lcl|NZ_CP084250.1_cds_WP_248322371.1_7,1071679.BG57_11750,3.55e-285,784.0,"COG0477@1|root,COG0477@2|Bacteria,1MWUR@1224|Proteobacteria,2VMD4@28216|Betaproteobacteria,1K10S@119060|Burkholderiaceae",28216|Betaproteobacteria,EGP,PFAM major facilitator superfamily MFS_1,-,-,-,ko:K08169,-,-,-,-,"ko00000,ko02000",2.A.1.3.17,-,-,MFS_1
lcl|NZ_CP084250.1_cds_WP_248320834.1_8,1071679.BG57_17835,4.81e-71,215.0,"COG3189@1|root,COG3189@2|Bacteria,1RHYB@1224|Proteobacteria,2VSIB@28216|Betaproteobacteria,1K7MI@119060|Burkholderiaceae",28216|Betaproteobacteria,S,"Protein of unknown function, DUF488",-,-,-,-,-,-,-,-,-,-,-,-,DUF488
lcl|NZ_CP084250.1_cds_WP_248320835.1_9,1218084.BBJK01000116_gene6814,4.65e-104,306.0,"COG4380@1|root,COG4380@2|Bacteria,1R3WM@1224|Proteobacteria,2VQ6M@28216|Betaproteobacteria,1K28J@119060|Burkholderiaceae",28216|Betaproteobacteria,S,lipoprotein,-,-,-,-,-,-,-,-,-,-,-,-,DUF799
lcl|NZ_CP084250.1_cds_WP_248320836.1_10,1218084.BBJK01000116_gene6813,2.63e-59,185.0,"COG4259@1|root,COG4259@2|Bacteria,1N7DV@1224|Proteobacteria,2VUYR@28216|Betaproteobacteria,1KFBN@119060|Burkholderiaceae",28216|Betaproteobacteria,S,Domain of unknown function (DUF4810),-,-,-,-,-,-,-,-,-,-,-,-,DUF4810
