locus_tag	product	protein_id	go_function	go_process	go_component	gene	GOs	Description	KEGG_ko	KEGG_Module	BRITE	KEGG_TC	CAZy	PFAMs
LDZ24_RS00185	LysE family translocator	WP_248320858.1					-	PFAM Lysine exporter protein (LYSE YGGA)	ko:K11250	-	ko00000,ko02000	2.A.76.1.5	-	LysE
LDZ24_RS00255	rod shape-determining protein MreD	WP_175938922.1		regulation of cell shape|0008360||IEA	membrane|0016020||IEA	mreD	-	Rod shape-determining protein MreD	ko:K03571	-	ko00000,ko03036	9.B.157.1	-	MreD
LDZ24_RS00260	rod shape-determining protein MreC	WP_248320869.1		regulation of cell shape|0008360||IEA		mreC	-	shape-determining protein MreC	ko:K03570	-	ko00000,ko03036	9.B.157.1	-	MreC
LDZ24_RS00375	glutathione S-transferase family protein	WP_248320886.1	protein binding|0005515||IEA	glutathione metabolic process|0006749||IEA			-	Glutathione S-transferase	ko:K00799	-	ko00000,ko00001,ko01000,ko02000	1.A.12.2.2,1.A.12.3.2	-	GST_C,GST_C_2,GST_N
LDZ24_RS00505	glutathione S-transferase family protein	WP_248320907.1	protein binding|0005515||IEA	glutathione metabolic process|0006749||IEA			-	Glutathione S-transferase	ko:K00799	-	ko00000,ko00001,ko01000,ko02000	1.A.12.2.2,1.A.12.3.2	-	GST_C,GST_N,GST_N_3
LDZ24_RS00545	sodium:calcium antiporter	WP_248320915.1					-	Sodium/calcium exchanger protein	ko:K07301	-	ko00000,ko02000	2.A.19.5	-	Na_Ca_ex
LDZ24_RS00565	HAD family hydrolase	WP_248320919.1					-	Hydrolase	ko:K20444	-	ko00000,ko01000,ko01005,ko02000	4.D.1.3	GT2,GT4	HAD_2,RgpF
LDZ24_RS00755	ABC transporter substrate-binding protein	WP_248320962.1					-	Branched-chain amino acid ABC transporter substrate-binding protein	ko:K01999	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	Peripla_BP_6
LDZ24_RS00800	ABC transporter permease	WP_248320968.1	ABC-type transporter activity|0140359||IEA				-	ABC transporter permease	ko:K02066	M00210,M00669,M00670	ko00000,ko00001,ko00002,ko02000	3.A.1.27	-	MlaE
LDZ24_RS00810	MlaD family protein	WP_248320970.1		phospholipid transport|0015914||IEA			-	PFAM Mammalian cell entry related domain protein	ko:K02067	M00210,M00669,M00670	ko00000,ko00001,ko00002,ko02000	3.A.1.27	-	MlaD
LDZ24_RS00815	ABC-type transport auxiliary lipoprotein family protein	WP_248320971.1					-	ABC-type transport auxiliary lipoprotein component	ko:K18480	M00669	ko00000,ko00002,ko02000	3.A.1.27.1	-	ABC_trans_aux
LDZ24_RS00930	PTS sugar transporter subunit IIA	WP_248321004.1	kinase activity|0016301||IEA	phosphorylation|0016310||IEA	transmembrane transporter complex|1902495||IEA		-	pts system fructose subfamily IIa component	ko:K02821	M00283,M00550	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.7.1	-	EIIA-man
LDZ24_RS01005	cytochrome c oxidase subunit II	WP_248321023.1	cytochrome-c oxidase activity|0004129||IEA		membrane|0016020||IEA	coxB	-	Subunits I and II form the functional core of the enzyme complex. Electrons originating in cytochrome c are transferred via heme a and Cu(A) to the binuclear center formed by heme a3 and Cu(B)	ko:K02275	M00155	ko00000,ko00001,ko00002,ko01000	3.D.4.2,3.D.4.4,3.D.4.6	-	COX2,COX2_TM,Cytochrome_CBB3,OmpA
LDZ24_RS01020	cytochrome c oxidase assembly protein	WP_248322239.1					-	Cytochrome C oxidase assembly protein ctag	ko:K02258	M00154	ko00000,ko00001,ko00002,ko03029	3.D.4.8	-	CtaG_Cox11
LDZ24_RS01030	cytochrome c oxidase subunit 3	WP_175939252.1					-	Cytochrome c oxidase subunit III	ko:K02276	M00155	ko00000,ko00001,ko00002,ko01000	3.D.4.4,3.D.4.6	-	COX3
LDZ24_RS01040	SURF1 family protein	WP_248321027.1					-	SURF1-like protein	ko:K14998	-	ko00000,ko03029	3.D.4.8	-	SURF1
LDZ24_RS01050	heme A synthase	WP_248321030.1					-	cytochrome oxidase assembly	ko:K02259	M00154	ko00000,ko00001,ko00002,ko03029	3.D.4.4	-	COX15-CtaA
LDZ24_RS01095	phosphoenolpyruvate--protein phosphotransferase	WP_248321043.1	phosphoenolpyruvate-protein phosphotransferase activity|0008965||IEA	phosphoenolpyruvate-dependent sugar phosphotransferase system|0009401||IEA		ptsP	-	Belongs to the PEP-utilizing enzyme family	ko:K02768,ko:K08483,ko:K11183,ko:K11189	M00273	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.2.1,8.A.7	-	PEP-utilisers_N,PEP-utilizers,PEP-utilizers_C,PTS-HPr,PTS_EIIA_1
LDZ24_RS01155	ABC transporter ATP-binding protein	WP_248321053.1	ATP binding|0005524||IEA				-	ABC transporter	ko:K01990	M00254	ko00000,ko00002,ko02000	3.A.1	-	ABC_tran
LDZ24_RS01160	ABC transporter permease	WP_248321057.1	ABC-type transporter activity|0140359||IEA		membrane|0016020||IEA		-	ABC-2 type transporter	ko:K01992	M00254	ko00000,ko00002,ko02000	3.A.1	-	ABC2_membrane_3
LDZ24_RS01170	signal recognition particle-docking protein FtsY	WP_248321059.1	signal recognition particle binding|0005047||IEA	protein secretion|0009306||IEA		ftsY	-	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC). Interaction with SRP-RNC leads to the transfer of the RNC complex to the Sec translocase for insertion into the membrane, the hydrolysis of GTP by both Ffh and FtsY, and the dissociation of the SRP-FtsY complex into the individual components	ko:K03110	M00335	ko00000,ko00001,ko00002,ko02044	3.A.5.1,3.A.5.2,3.A.5.7	-	SRP54,SRP54_N
LDZ24_RS01290	lipopolysaccharide transport periplasmic protein LptA	WP_248321080.1	lipopolysaccharide binding|0001530||IEA	lipopolysaccharide transport|0015920||IEA	periplasmic space|0042597||IEA	lptA	-	Involved in the assembly of lipopolysaccharide (LPS). Required for the translocation of LPS from the inner membrane to the outer membrane	ko:K09774	-	ko00000,ko02000	1.B.42.1	-	OstA
LDZ24_RS01295	LPS export ABC transporter periplasmic protein LptC	WP_244847815.1	lipopolysaccharide transmembrane transporter activity|0015221||IEA	lipopolysaccharide transport|0015920||IEA	plasma membrane|0005886||IEA	lptC	-	Lipopolysaccharide-assembly, LptC-related	ko:K11719	-	ko00000,ko02000	1.B.42.1	-	LptC
LDZ24_RS01310	cation:proton antiporter	WP_248321084.1	antiporter activity|0015297||IEA	proton transmembrane transport|1902600||IEA	membrane|0016020||IEA		-	Belongs to the monovalent cation proton antiporter 2 (CPA2) transporter (TC 2.A.37) family	ko:K03455	-	ko00000	2.A.37	-	Na_H_Exchanger,TrkA_C,TrkA_N
LDZ24_RS01565	ABC transporter ATP-binding protein/permease	WP_248321155.1	ABC-type transporter activity|0140359||IEA				-	abc transporter	ko:K06147	-	ko00000,ko02000	3.A.1.106,3.A.1.109,3.A.1.21	-	ABC_membrane,ABC_tran
