locus_tag	product	protein_id	go_function	go_process	go_component	gene	GOs	Description	KEGG_ko	KEGG_Module	BRITE	KEGG_TC	CAZy	PFAMs
NCS66_RS00010	hypothetical protein	WP_250480179.1					-	viral genome integration into host DNA	-	-	-	-	-	-
NCS66_RS00025	hypothetical protein	WP_250480182.1					-	unidirectional conjugation	-	-	-	-	-	DUF87,T4SS-DNA_transf,TraG-D_C,TrwB_AAD_bind
NCS66_RS00030	hypothetical protein	WP_250480183.1					-	-	-	-	-	-	-	-
NCS66_RS00035	helicase-related protein	WP_250480184.1					-	PFAM helicase domain protein	-	-	-	-	-	Helicase_C,SNF2_N
NCS66_RS00040	DUF4391 domain-containing protein	WP_250480185.1					-	Domain of unknown function (DUF4391)	-	-	-	-	-	DUF4391
NCS66_RS00045	site-specific DNA-methyltransferase	WP_250480186.1	S-adenosyl-L-methionine binding|1904047||IEA	obsolete DNA methylation|0006306||IEA			-	DNA methylase	ko:K07316	-	ko00000,ko01000,ko02048	-	-	N6_N4_Mtase
NCS66_RS00050	DEAD/DEAH box helicase family protein	WP_250480187.1	hydrolase activity|0016787||IEA				-	PFAM type III restriction	ko:K01156	-	ko00000,ko01000,ko02048	-	-	ResIII
NCS66_RS00055	site-specific integrase	WP_250480188.1	DNA binding|0003677||IEA	DNA integration|0015074||IEA			-	Belongs to the 'phage' integrase family	-	-	-	-	-	Phage_integrase
NCS66_RS00060	VOC family protein	WP_175979693.1					-	PFAM Glyoxalase bleomycin resistance protein dioxygenase	ko:K08234	-	ko00000	-	-	Glyoxalase
NCS66_RS00070	surface attachment protein Sap1	WP_008352233.1				sap1	-	-	-	-	-	-	-	-
NCS66_RS00075	LysE family translocator	WP_175979694.1					-	LysE type translocator	-	-	-	-	-	LysE
NCS66_RS00080	SgcJ/EcaC family oxidoreductase	WP_175979695.1					-	SnoaL-like domain	-	-	-	-	-	SnoaL_3
NCS66_RS00090	transcriptional regulator	WP_008352229.1					-	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A	-	-	-	-	-	-
NCS66_RS00100	membrane protein insertion efficiency factor YidD	WP_033536595.1				yidD	-	Could be involved in insertion of integral membrane proteins into the membrane	ko:K08998	-	ko00000	-	-	Haemolytic
NCS66_RS00110	50S ribosomal protein L34	WP_004198824.1	structural constituent of ribosome|0003735||IEA	translation|0006412||IEA	cytosolic large ribosomal subunit|0022625||IEA	rpmH	-	Belongs to the bacterial ribosomal protein bL34 family	ko:K02914	M00178	br01610,ko00000,ko00001,ko00002,ko03011	-	-	Ribosomal_L34
NCS66_RS00115	chromosomal replication initiator protein DnaA	WP_008352222.1	ATP binding|0005524||IEA	regulation of DNA replication|0006275||IEA		dnaA	-	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	ko:K02313	-	ko00000,ko00001,ko03032,ko03036	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N
NCS66_RS00130	AraC family transcriptional regulator	WP_250480205.1					-	AraC family transcriptional regulator	ko:K13652	-	ko00000,ko03000	-	-	GyrI-like,HTH_18
NCS66_RS00135	hypothetical protein	WP_008352215.1					-	-	-	-	-	-	-	-
NCS66_RS00150	DUF488 family protein	WP_034470746.1					-	Protein of unknown function, DUF488	-	-	-	-	-	DUF488
NCS66_RS00160	PaaI family thioesterase	WP_250480189.1	fatty acyl-CoA hydrolase activity|0047617||IEA				-	PFAM thioesterase superfamily protein	-	-	-	-	-	4HBT
NCS66_RS00165	patatin-like phospholipase family protein	WP_034470311.1					-	PFAM Patatin	-	-	-	-	-	Patatin
