locus_tag	product	protein_id	go_function	go_process	go_component	gene	GOs	Description	KEGG_ko	KEGG_Module	BRITE	KEGG_TC	CAZy	PFAMs
LDZ24_RS00020	phosphorothioated DNA-binding restriction endonuclease	WP_248320832.1	restriction endodeoxyribonuclease activity|0015666||IEA	DNA restriction-modification system|0009307||IEA			-	HNH endonuclease	ko:K07454	-	ko00000	-	-	HNH_2
LDZ24_RS00025	hypothetical protein	WP_244847619.1					-	-	-	-	-	-	-	-
LDZ24_RS00040	DUF488 domain-containing protein	WP_248320834.1					-	Protein of unknown function, DUF488	-	-	-	-	-	DUF488
LDZ24_RS00045	DUF799 domain-containing protein	WP_248320835.1					-	lipoprotein	-	-	-	-	-	DUF799
LDZ24_RS00050	DUF4810 domain-containing protein	WP_248320836.1					-	Domain of unknown function (DUF4810)	-	-	-	-	-	DUF4810
LDZ24_RS00055	CsgG/HfaB family protein	WP_248320837.1					-	Curli production assembly transport component CsgG	-	-	-	-	-	CsgG
LDZ24_RS00065	hypothetical protein	WP_248320839.1					-	-	-	-	-	-	-	-
LDZ24_RS00070	peptidoglycan-binding protein	WP_248320840.1					-	Putative peptidoglycan binding domain	-	-	-	-	-	PG_binding_1
LDZ24_RS00080	hypothetical protein	WP_248320842.1					-	SMART serine threonine protein kinase	-	-	-	-	-	AAA_16,CHAT,Pkinase,WD40
LDZ24_RS00085	hypothetical protein	WP_248320843.1					-	-	-	-	-	-	-	-
LDZ24_RS00090	DUF262 domain-containing protein	WP_248320844.1					-	Protein of unknown function DUF262	ko:K00655,ko:K07451	M00089	ko00000,ko00001,ko00002,ko01000,ko01004,ko02048	-	-	DUF262,HNH
LDZ24_RS28045	MrcB family domain-containing protein	WP_305854673.1					-	HNH nucleases	ko:K07451	-	ko00000,ko01000,ko02048	-	-	DUF3578,HNH
LDZ24_RS00105	hypothetical protein	WP_248320845.1					-	-	-	-	-	-	-	-
LDZ24_RS00110	AAA family ATPase	WP_248320846.1					-	AAA domain	-	-	-	-	-	AAA_25,PriCT_2
LDZ24_RS00115	PP2C family serine/threonine-protein phosphatase	WP_371747358.1	metal ion binding|0046872||IEA	protein dephosphorylation|0006470||IEA			-	Phosphatase	ko:K20074	-	ko00000,ko01000,ko01009	-	-	PP2C_2
LDZ24_RS00120	serine/threonine-protein kinase	WP_248320848.1	ATP binding|0005524||IEA	protein phosphorylation|0006468||IEA			-	Protein tyrosine kinase	ko:K08838,ko:K12132	-	ko00000,ko01000,ko01001,ko04131	-	-	MORN,Pkinase
LDZ24_RS00130	PaaI family thioesterase	WP_248320849.1	thiolester hydrolase activity|0016790||IEA				-	PFAM thioesterase superfamily protein	-	-	-	-	-	4HBT
LDZ24_RS00135	patatin-like phospholipase family protein	WP_248320850.1					-	PFAM Patatin	-	-	-	-	-	Patatin
LDZ24_RS00140	OsmC family protein	WP_248320851.1					-	PFAM OsmC family protein	-	-	-	-	-	OsmC
