#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
lcl|NZ_JALQDU010000001.1_cds_WP_250480179.1_2,1123368.AUIS01000004_gene100,4.26e-48,178.0,"COG0582@1|root,COG0582@2|Bacteria,1QTBK@1224|Proteobacteria,1SV9T@1236|Gammaproteobacteria",1236|Gammaproteobacteria,L,viral genome integration into host DNA,-,-,-,-,-,-,-,-,-,-,-,-,-
lcl|NZ_JALQDU010000001.1_cds_WP_250480182.1_5,1123368.AUIS01000004_gene102,3.81e-68,239.0,"COG0433@1|root,COG3505@1|root,COG0433@2|Bacteria,COG3505@2|Bacteria",2|Bacteria,U,unidirectional conjugation,-,-,-,-,-,-,-,-,-,-,-,-,"DUF87,T4SS-DNA_transf,TraG-D_C,TrwB_AAD_bind"
lcl|NZ_JALQDU010000001.1_cds_WP_250480183.1_6,1071679.BG57_24395,5.33e-38,130.0,"2A7TQ@1|root,30WST@2|Bacteria,1PIH1@1224|Proteobacteria,2W73T@28216|Betaproteobacteria,1KDQT@119060|Burkholderiaceae",28216|Betaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lcl|NZ_JALQDU010000001.1_cds_WP_250480184.1_7,543728.Vapar_4597,0.0,1845.0,"COG0553@1|root,COG0553@2|Bacteria,1NC5H@1224|Proteobacteria,2VJXT@28216|Betaproteobacteria,4A9M5@80864|Comamonadaceae",28216|Betaproteobacteria,L,PFAM helicase domain protein,-,-,-,-,-,-,-,-,-,-,-,-,"Helicase_C,SNF2_N"
lcl|NZ_JALQDU010000001.1_cds_WP_250480185.1_8,1458427.BAWN01000014_gene925,6.66e-136,390.0,"2BHWZ@1|root,32C11@2|Bacteria,1RADB@1224|Proteobacteria,2VQSD@28216|Betaproteobacteria,4ADVQ@80864|Comamonadaceae",28216|Betaproteobacteria,S,Domain of unknown function (DUF4391),-,-,-,-,-,-,-,-,-,-,-,-,DUF4391
lcl|NZ_JALQDU010000001.1_cds_WP_250480186.1_9,94624.Bpet4236,2.72e-272,766.0,"COG2189@1|root,COG2189@2|Bacteria,1MX9M@1224|Proteobacteria,2VGZB@28216|Betaproteobacteria,3T2GT@506|Alcaligenaceae",28216|Betaproteobacteria,L,DNA methylase,mod,-,2.1.1.72,ko:K07316,-,-,-,-,"ko00000,ko01000,ko02048",-,-,-,N6_N4_Mtase
lcl|NZ_JALQDU010000001.1_cds_WP_250480187.1_10,1458427.BAWN01000014_gene922,0.0,1787.0,"COG3587@1|root,COG3587@2|Bacteria,1MVQ0@1224|Proteobacteria,2VI7C@28216|Betaproteobacteria,4A9NF@80864|Comamonadaceae",28216|Betaproteobacteria,L,PFAM type III restriction,res,-,3.1.21.5,ko:K01156,-,-,-,-,"ko00000,ko01000,ko02048",-,-,-,ResIII
lcl|NZ_JALQDU010000001.1_cds_WP_250480188.1_11,1071679.BG57_24435,4.25e-36,144.0,"COG0582@1|root,COG0582@2|Bacteria,1NWGS@1224|Proteobacteria,2VKWM@28216|Betaproteobacteria,1K4RQ@119060|Burkholderiaceae",28216|Betaproteobacteria,L,Belongs to the 'phage' integrase family,-,-,-,-,-,-,-,-,-,-,-,-,Phage_integrase
lcl|NZ_JALQDU010000001.1_cds_WP_175979693.1_12,1458357.BG58_31500,4.37e-84,249.0,"COG0346@1|root,COG0346@2|Bacteria,1RHD4@1224|Proteobacteria,2VSJM@28216|Betaproteobacteria,1K7MX@119060|Burkholderiaceae",28216|Betaproteobacteria,E,PFAM Glyoxalase bleomycin resistance protein dioxygenase,-,-,-,ko:K08234,-,-,-,-,ko00000,-,-,-,Glyoxalase
lcl|NZ_JALQDU010000001.1_cds_WP_033536561.1_13,1458357.BG58_31495,1.55e-123,352.0,"COG4681@1|root,COG4681@2|Bacteria,1RDR9@1224|Proteobacteria,2VR81@28216|Betaproteobacteria,1K28A@119060|Burkholderiaceae",28216|Betaproteobacteria,S,PFAM YaeQ family protein,yaeQ,-,-,-,-,-,-,-,-,-,-,-,YaeQ
