locus_tag	product	protein_id	go_function	go_process	go_component	gene	GOs	Description	KEGG_ko	KEGG_Module	BRITE	KEGG_TC	CAZy	PFAMs
NCS66_RS00215	LysE family translocator	WP_250480193.1					-	PFAM Lysine exporter protein (LYSE YGGA)	ko:K11250	-	ko00000,ko02000	2.A.76.1.5	-	LysE
NCS66_RS00290	rod shape-determining protein MreD	WP_008352165.1	molecular_function|0003674||IEA	regulation of cell shape|0008360||IEA		mreD	-	Rod shape-determining protein MreD	ko:K03571	-	ko00000,ko03036	9.B.157.1	-	MreD
NCS66_RS00295	rod shape-determining protein MreC	WP_250480196.1		regulation of cell shape|0008360||IEA		mreC	-	shape-determining protein MreC	ko:K03570	-	ko00000,ko03036	9.B.157.1	-	MreC
NCS66_RS00415	type VI secretion system Vgr family protein	WP_250480207.1		protein secretion by the type VI secretion system|0033103||IEA	type VI protein secretion system complex|0033104||IEA		-	rhs element vgr protein	ko:K11904	M00334	ko00000,ko00001,ko00002,ko02044	3.A.23.1	-	DUF2345,Phage_GPD,T6SS_Vgr
NCS66_RS00435	glutathione S-transferase family protein	WP_008351977.1	protein binding|0005515||IEA	glutathione metabolic process|0006749||IEA			-	Glutathione S-transferase	ko:K00799	-	ko00000,ko00001,ko01000,ko02000	1.A.12.2.2,1.A.12.3.2	-	GST_C,GST_C_2,GST_N
NCS66_RS34300	glutathione S-transferase family protein	WP_250480216.1	protein binding|0005515||IEA	glutathione metabolic process|0006749||IEA			-	Glutathione S-transferase	ko:K00799	-	ko00000,ko00001,ko01000,ko02000	1.A.12.2.2,1.A.12.3.2	-	GST_C,GST_N,GST_N_3
NCS66_RS00615	sodium:calcium antiporter	WP_034470401.1					-	Sodium/calcium exchanger protein	ko:K07301	-	ko00000,ko02000	2.A.19.5	-	Na_Ca_ex
NCS66_RS00850	ABC transporter substrate-binding protein	WP_250438915.1					-	Branched-chain amino acid ABC transporter substrate-binding protein	ko:K01999	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	Peripla_BP_6
NCS66_RS00905	ABC transporter permease	WP_008351824.1	ABC-type transporter activity|0140359||IEA				-	ABC transporter permease	ko:K02066	M00210,M00669,M00670	ko00000,ko00001,ko00002,ko02000	3.A.1.27	-	MlaE
NCS66_RS00915	MlaD family protein	WP_175979746.1					-	MlaD protein	ko:K02067	M00210,M00669,M00670	ko00000,ko00001,ko00002,ko02000	3.A.1.27	-	MlaD
NCS66_RS00920	ABC-type transport auxiliary lipoprotein family protein	WP_250456628.1					-	ABC-type transport auxiliary lipoprotein component	ko:K18480	M00669	ko00000,ko00002,ko02000	3.A.1.27.1	-	ABC_trans_aux
NCS66_RS01035	PTS sugar transporter subunit IIB	WP_008351788.1					-	pts system fructose subfamily IIa component	ko:K02821	M00283,M00550	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.7.1	-	EIIA-man
NCS66_RS01110	cytochrome c oxidase subunit II	WP_008351767.1	cytochrome-c oxidase activity|0004129||IEA			coxB	-	Subunits I and II form the functional core of the enzyme complex. Electrons originating in cytochrome c are transferred via heme a and Cu(A) to the binuclear center formed by heme a3 and Cu(B)	ko:K02275	M00155	ko00000,ko00001,ko00002,ko01000	3.D.4.2,3.D.4.4,3.D.4.6	-	COX2,COX2_TM,Cytochrome_CBB3,OmpA
NCS66_RS01125	cytochrome c oxidase assembly protein	WP_250480242.1					-	Cytochrome C oxidase assembly protein ctag	ko:K02258	M00154	ko00000,ko00001,ko00002,ko03029	3.D.4.8	-	CtaG_Cox11
NCS66_RS01135	cytochrome c oxidase subunit 3	WP_008351755.1					-	Cytochrome c oxidase subunit III	ko:K02276	M00155	ko00000,ko00001,ko00002,ko01000	3.D.4.4,3.D.4.6	-	COX3
NCS66_RS01145	SURF1 family protein	WP_034470509.1					-	SURF1-like protein	ko:K14998	-	ko00000,ko03029	3.D.4.8	-	SURF1
NCS66_RS01155	COX15/CtaA family protein	WP_008351746.1					-	cytochrome oxidase assembly	ko:K02259	M00154	ko00000,ko00001,ko00002,ko03029	3.D.4.4	-	COX15-CtaA
NCS66_RS01205	phosphoenolpyruvate--protein phosphotransferase	WP_250480243.1	phosphoenolpyruvate-protein phosphotransferase activity|0008965||IEA	phosphoenolpyruvate-dependent sugar phosphotransferase system|0009401||IEA		ptsP	-	Belongs to the PEP-utilizing enzyme family	ko:K02768,ko:K08483,ko:K11183,ko:K11189	M00273	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.2.1,8.A.7	-	PEP-utilisers_N,PEP-utilizers,PEP-utilizers_C,PTS-HPr,PTS_EIIA_1
NCS66_RS01255	signal recognition particle-docking protein FtsY	WP_008351714.1	signal recognition particle binding|0005047||IEA	protein secretion|0009306||IEA		ftsY	-	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC). Interaction with SRP-RNC leads to the transfer of the RNC complex to the Sec translocase for insertion into the membrane, the hydrolysis of GTP by both Ffh and FtsY, and the dissociation of the SRP-FtsY complex into the individual components	ko:K03110	M00335	ko00000,ko00001,ko00002,ko02044	3.A.5.1,3.A.5.2,3.A.5.7	-	SRP54,SRP54_N
NCS66_RS01360	lipopolysaccharide transport periplasmic protein LptA	WP_033536543.1	lipopolysaccharide binding|0001530||IEA	lipopolysaccharide transport|0015920||IEA	ATP-binding cassette (ABC) transporter complex|0043190||IEA	lptA	-	Involved in the assembly of lipopolysaccharide (LPS). Required for the translocation of LPS from the inner membrane to the outer membrane	ko:K09774	-	ko00000,ko02000	1.B.42.1	-	OstA
NCS66_RS01365	LPS export ABC transporter periplasmic protein LptC	WP_008351682.1	lipopolysaccharide transmembrane transporter activity|0015221||IEA	lipopolysaccharide transport|0015920||IEA	plasma membrane|0005886||IEA	lptC	-	Lipopolysaccharide-assembly, LptC-related	ko:K11719	-	ko00000,ko02000	1.B.42.1	-	LptC
NCS66_RS01380	monovalent cation:proton antiporter family protein	WP_008351676.1	antiporter activity|0015297||IEA	proton transmembrane transport|1902600||IEA	membrane|0016020||IEA		-	Belongs to the monovalent cation proton antiporter 2 (CPA2) transporter (TC 2.A.37) family	ko:K03455	-	ko00000	2.A.37	-	Na_H_Exchanger,TrkA_C,TrkA_N
NCS66_RS01630	ABC transporter ATP-binding protein/permease	WP_008351592.1	ABC-type transporter activity|0140359||IEA				-	abc transporter	ko:K06147	-	ko00000,ko02000	3.A.1.106,3.A.1.109,3.A.1.21	-	ABC_membrane,ABC_tran
NCS66_RS01635	MFS transporter	WP_250480263.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA			-	PFAM major facilitator superfamily MFS_1	ko:K02575	M00615	ko00000,ko00001,ko00002,ko02000	2.A.1.8	-	MFS_1
NCS66_RS02160	MFS transporter	WP_235366269.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA			-	Major facilitator superfamily MFS_1	ko:K03762	-	ko00000,ko02000	2.A.1.6.4	-	Sugar_tr
NCS66_RS02195	CopD family protein	WP_175979825.1			membrane|0016020||IEA		-	PFAM copper resistance D domain protein	ko:K07245	-	ko00000,ko02000	9.B.62.1	-	CopD
NCS66_RS02360	pilin	WP_284508004.1					-	general secretion pathway protein	ko:K02650	-	ko00000,ko00001,ko02035,ko02044	3.A.15.2	-	N_methyl,Pilin
NCS66_RS02560	metal ABC transporter permease	WP_034474383.1		transmembrane transport|0055085||IEA	ATP-binding cassette (ABC) transporter complex|0043190||IEA		-	abc transporter, permease	ko:K02075,ko:K09816,ko:K09819	M00242,M00243,M00244	ko00000,ko00001,ko00002,ko02000	3.A.1.15,3.A.1.15.3,3.A.1.15.5	-	ABC-3
NCS66_RS02565	ATP-binding cassette domain-containing protein	WP_235366264.1	ATP binding|0005524||IEA				-	abc transporter	ko:K02074	M00244	ko00000,ko00002,ko02000	3.A.1.15	-	ABC_tran
NCS66_RS02570	metal ABC transporter solute-binding protein	WP_051996842.1					-	Belongs to the bacterial solute-binding protein 9 family	ko:K02077	M00244	ko00000,ko00002,ko02000	3.A.1.15	-	ZnuA
NCS66_RS02585	sugar ABC transporter substrate-binding protein	WP_008351257.1	ABC-type transporter activity|0140359||IEA		ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|0055052||IEA		-	PFAM extracellular solute-binding protein family 1	ko:K02027,ko:K10227	M00200,M00207	ko00000,ko00001,ko00002,ko02000	3.A.1.1,3.A.1.1.5	-	SBP_bac_1,SBP_bac_8
NCS66_RS02590	sugar ABC transporter permease	WP_008351256.1	ABC-type transporter activity|0140359||IEA				-	PFAM binding-protein-dependent transport systems inner membrane component	ko:K10228	M00200	ko00000,ko00001,ko00002,ko02000	3.A.1.1.5	-	BPD_transp_1
NCS66_RS02595	carbohydrate ABC transporter permease	WP_008351255.1		transmembrane transport|0055085||IEA			-	PFAM binding-protein-dependent transport systems inner membrane component	ko:K10229,ko:K17323	M00200,M00607	ko00000,ko00001,ko00002,ko02000	3.A.1.1.35,3.A.1.1.5	-	BPD_transp_1
NCS66_RS02710	aspartate-alanine antiporter	WP_250480319.1	aspartate:alanine antiporter activity|0070906||IEA			aspT	-	Predicted Permease Membrane Region	ko:K07085	-	ko00000	2.A.81	-	Asp-Al_Ex,TrkA_C
